District,Name,lat,lon,soil_id,,
Thutukudi,THU01,9.28715,78.07308,,,1
Thutukudi,THU02,9.27334,78.13451,,,2
Thutukudi,THU03,9.30273,78.16728,,,3
Thutukudi,THU04,9.29935,78.22586,,,4
Thutukudi,THU05,9.27364,78.22864,,,5
Thutukudi,THU06,9.21846,78.19184,,,6
Thutukudi,THU07,9.22937,78.15117,,,7
Thutukudi,THU08,9.10078,78.13012,,,8
Thutukudi,THU09,9.0675,78.14197,,,9
Thutukudi,THU10,9.022,78.13208,,,10
Thutukudi,THU11,9.09471,78.09857,,,11
Thutukudi,THU12,9.12534,78.10869,,,12
Thutukudi,THU13,9.13619,78.08214,,,13
Thutukudi,THU14,9.14383,78.02965,,,14
Thutukudi,THU15,9.092,78.0134,,,15
Thutukudi,THU16,9.05168,78.0444,,,16
Thutukudi,THU17,9.04679,78.06798,,,17
Thutukudi,THU18,9.00993,78.09823,,,18
Thutukudi,THU19,8.76566,77.9262,,,19
Thutukudi,THU20,8.88539,77.87934,,,20
Thutukudi,THU21,8.95718,77.85955,,,21
Thutukudi,THU22,9.00374,77.89758,,,22
Thutukudi,THU23,8.97862,77.92859,,,23
Thutukudi,THU24,8.91588,77.92148,,,24
Thutukudi,THU25,9.00926,77.97242,,,25
Thutukudi,THU26,9.07176,78.02422,,,26
Thutukudi,THU27,9.1168,78.00607,,,27
Thutukudi,THU28,9.12464,77.95567,,,28
Thutukudi,THU29,9.08931,77.97144,,,29
Thutukudi,THU30,9.06609,77.97603,,,30
Guntur,GUN01,16.399073,79.488739,,,1
Guntur,GUN02,16.567038,79.542507,,,2
Guntur,GUN03,16.471391,79.674503,,,3
Guntur,GUN04,16.540736,79.810103,,,4
Guntur,GUN05,16.233602,79.779365,,,5
Guntur,GUN06,16.168449,79.769472,,,6
Guntur,GUN07,16.107114,79.820328,,,7
Guntur,GUN08,16.163394,79.997088,,,8
Guntur,GUN09,16.311356,80.086323,,,9
Guntur,GUN10,16.39624,80.191736,,,10
Guntur,GUN11,16.261748,80.344096,,,11
Guntur,GUN12,16.409027,80.512857,,,12
Guntur,GUN13,16.529806,80.520138,,,13
Guntur,GUN14,16.495246,80.556737,,,14
Guntur,GUN15,16.40454,80.619251,,,15
Guntur,GUN16,16.315004,80.636931,,,16
Guntur,GUN17,16.278365,80.729929,,,17
Guntur,GUN18,16.252977,80.786392,,,18
Guntur,GUN19,16.181245,80.76122,,,19
Guntur,GUN20,16.202525,80.681822,,,20
Guntur,GUN21,16.152264,80.652492,,,21
Guntur,GUN22,16.064756,80.723716,,,22
Guntur,GUN23,15.985652,80.438421,,,23
Guntur,GUN24,16.064341,80.420266,,,24
Guntur,GUN25,16.057507,80.516975,,,25
Guntur,GUN26,16.122159,80.537164,,,26
Guntur,GUN27,16.185049,80.523431,,,27
Guntur,GUN28,16.279499,80.620099,,,28
Guntur,GUN29,16.273741,80.477357,,,29
Guntur,GUN30,16.22089,80.377312,,,30
Warangal,WAR01,18.06759,79.69372,,,1
Warangal,WAR02,18.09926,79.71922,,,2
Warangal,WAR03,18.13444,79.66847,,,3
Warangal,WAR04,18.15824,79.62255,,,4
Warangal,WAR05,18.20608,79.68357,,,5
Warangal,WAR06,18.10747,79.83711,,,6
Warangal,WAR07,18.08181,79.75112,,,7
Warangal,WAR08,18.03907,79.73011,,,8
Warangal,WAR09,18.01248,79.77433,,,9
Warangal,WAR10,18.02458,79.82715,,,10
Warangal,WAR11,18.03932,79.88252,,,11
Warangal,WAR12,17.98066,79.91465,,,12
Warangal,WAR13,17.947,79.82992,,,13
Warangal,WAR14,17.92454,79.78537,,,14
Warangal,WAR15,17.88656,79.79808,,,15
Warangal,WAR16,17.88744,79.84448,,,16
Warangal,WAR17,17.82751,79.90068,,,17
Warangal,WAR18,17.79612,79.79381,,,18
Warangal,WAR19,17.75175,79.74882,,,19
Warangal,WAR20,17.79236,79.69836,,,20
Warangal,WAR21,17.8417,79.69745,,,21
Warangal,WAR22,17.87002,79.66494,,,22
Warangal,WAR23,17.95594,79.67714,,,23
Warangal,WAR24,17.95171,79.72124,,,24
Warangal,WAR25,17.91771,79.74632,,,25
Warangal,WAR26,17.86876,79.74012,,,26
Warangal,WAR27,17.84748,79.77183,,,27
Warangal,WAR28,17.81531,79.81194,,,28
Warangal,WAR29,17.80498,79.75417,,,29
Warangal,WAR30,17.81556,79.71711,,,30
Belagavi,BEL01,15.828613,75.202475,,,1
Belagavi,BEL02,15.848086,75.00147,,,2
Belagavi,BEL03,15.779773,74.837737,,,3
Belagavi,BEL04,15.908453,74.842131,,,4
Belagavi,BEL05,16.025375,74.992906,,,5
Belagavi,BEL06,16.101183,74.913644,,,6
Belagavi,BEL07,16.227698,74.833412,,,7
Belagavi,BEL08,16.235337,74.76943,,,8
Belagavi,BEL09,16.246424,74.700809,,,9
Belagavi,BEL10,16.2424,74.586807,,,10
Belagavi,BEL11,16.245747,74.501038,,,11
Belagavi,BEL12,16.403494,74.434304,,,12
Belagavi,BEL13,16.453444,74.606773,,,13
Belagavi,BEL14,16.548313,74.647117,,,14
Belagavi,BEL15,16.651092,74.808531,,,15
Belagavi,BEL16,16.710961,75.101922,,,16
Belagavi,BEL17,16.693074,75.217609,,,17
Belagavi,BEL18,16.731631,75.298313,,,18
Belagavi,BEL19,15.87169,75.297851,,,19
Belagavi,BEL20,15.79478,75.211841,,,20
