DATE,TMAX,TMIN,SRAD,RAIN
2022/06/01,42.08,27.31,24.31,0.0
2022/06/02,42.1,26.48,24.91,0.0
2022/06/03,42.08,27.28,23.76,0.13
2022/06/04,41.75,28.06,18.57,0.02
2022/06/05,40.6,26.56,22.86,0.0
2022/06/06,40.17,27.06,24.91,0.08
2022/06/07,38.55,26.76,23.76,2.65
2022/06/08,37.55,27.07,15.71,1.64
2022/06/09,36.19,27.01,19.16,15.31
2022/06/10,31.83,24.65,14.81,11.4
2022/06/11,32.97,24.12,24.07,2.09
2022/06/12,34.65,24.4,22.54,1.55
2022/06/13,34.99,24.25,19.64,3.57
2022/06/14,33.03,24.97,17.94,29.08
2022/06/15,33.47,24.47,16.01,3.21
2022/06/16,29.8,25.05,16.39,9.58
2022/06/17,32.19,24.48,20.56,5.61
2022/06/18,30.34,24.23,17.78,9.29
2022/06/19,32.3,23.98,18.56,16.05
2022/06/20,30.08,23.7,16.46,13.12
2022/06/21,31.69,23.78,17.82,2.62
2022/06/22,31.88,24.08,18.14,8.67
2022/06/23,32.67,23.45,17.23,1.05
2022/06/24,32.83,23.95,14.97,1.0
2022/06/25,31.43,23.82,17.36,37.98
2022/06/26,31.05,23.44,19.69,32.21
2022/06/27,33.41,23.08,19.29,1.68
2022/06/28,28.75,24.33,18.57,6.68
2022/06/29,31.52,23.55,17.53,2.84
2022/06/30,31.01,23.4,15.6,3.29
2022/07/01,30.87,23.6,16.85,11.73
2022/07/02,30.1,23.32,11.88,17.5
2022/07/03,28.42,23.3,7.25,21.56
2022/07/04,28.49,23.3,18.05,28.51
2022/07/05,29.83,23.33,16.36,21.37
2022/07/06,28.38,23.43,9.2,12.76
2022/07/07,28.75,23.12,12.89,35.42
2022/07/08,26.9,22.98,9.83,12.89
2022/07/09,27.5,22.83,10.1,7.95
2022/07/10,27.04,23.0,6.55,32.93
2022/07/11,25.98,23.09,4.65,26.13
2022/07/12,27.3,22.87,9.02,36.39
2022/07/13,28.76,22.4,15.77,4.18
2022/07/14,30.87,22.51,17.68,1.05
2022/07/15,29.99,22.79,12.01,6.81
2022/07/16,26.34,22.51,4.83,52.4
2022/07/17,28.71,22.07,8.93,10.8
2022/07/18,30.28,22.33,11.58,2.69
2022/07/19,28.0,22.44,12.76,0.37
2022/07/20,26.71,22.61,11.17,3.14
2022/07/21,27.61,22.37,8.67,8.87
2022/07/22,27.69,22.55,9.36,3.86
2022/07/23,29.85,22.37,15.13,5.01
2022/07/24,28.14,22.33,9.52,9.63
2022/07/25,29.7,22.15,15.07,2.18
2022/07/26,29.21,23.16,20.87,2.44
2022/07/27,28.37,23.12,19.06,3.66
2022/07/28,28.54,23.16,19.68,29.96
2022/07/29,30.76,22.44,21.49,0.21
2022/07/30,30.19,22.88,21.39,0.0
2022/07/31,28.3,22.83,18.76,0.09
2022/08/01,30.36,23.05,16.52,3.63
2022/08/02,27.53,23.58,14.35,6.98
2022/08/03,30.16,22.76,18.2,6.47
2022/08/04,28.88,23.6,17.97,5.13
2022/08/05,27.92,22.93,12.32,8.18
2022/08/06,28.12,22.75,5.06,20.82
2022/08/07,28.32,22.8,13.18,14.61
2022/08/08,27.16,21.98,6.25,26.59
2022/08/09,29.33,22.48,11.48,2.24
2022/08/10,30.16,21.9,18.85,0.9
2022/08/11,29.9,21.68,16.03,1.72
2022/08/12,28.84,21.66,12.98,6.35
2022/08/13,26.28,21.62,6.73,13.13
2022/08/14,28.8,21.37,13.78,0.97
2022/08/15,30.4,21.51,17.63,1.79
2022/08/16,30.22,21.55,17.89,1.14
2022/08/17,30.14,21.72,17.55,2.23
2022/08/18,28.91,22.19,15.99,1.84
2022/08/19,28.6,21.91,15.34,0.9
2022/08/20,28.08,22.01,12.28,0.8
2022/08/21,30.54,21.72,16.1,1.18
2022/08/22,29.2,21.75,18.28,2.37
2022/08/23,29.41,21.71,20.35,0.16
2022/08/24,29.76,22.37,19.11,0.3
2022/08/25,29.08,21.83,22.15,0.01
2022/08/26,28.05,21.29,19.55,0.0
2022/08/27,26.96,22.11,15.28,1.28
2022/08/28,28.9,21.61,18.09,19.84
2022/08/29,29.35,23.05,20.88,9.69
2022/08/30,29.15,23.98,19.92,8.2
2022/08/31,31.01,22.96,20.24,4.08
2022/09/01,31.12,23.12,22.37,0.81
2022/09/02,27.73,22.85,10.86,4.76
2022/09/03,29.14,22.74,16.87,0.84
2022/09/04,29.93,22.45,18.59,6.44
2022/09/05,29.81,21.89,17.28,5.83
2022/09/06,29.99,23.72,17.11,6.11
2022/09/07,28.91,23.33,18.21,1.74
2022/09/08,28.91,23.21,18.89,12.73
2022/09/09,27.95,23.45,13.11,16.36
2022/09/10,28.52,23.79,8.6,40.97
2022/09/11,27.19,22.47,11.94,24.21
2022/09/12,29.66,22.34,16.14,3.4
2022/09/13,29.71,21.99,13.51,1.52
2022/09/14,26.81,22.78,10.87,10.95
2022/09/15,28.82,21.89,15.33,20.8
2022/09/16,28.18,22.32,17.46,3.8
2022/09/17,29.21,22.01,15.45,5.11
2022/09/18,28.18,22.08,16.07,0.93
2022/09/19,26.71,21.6,17.59,1.89
2022/09/20,26.63,20.95,13.33,0.17
2022/09/21,27.45,20.26,13.2,0.38
2022/09/22,28.27,19.87,17.77,0.03
2022/09/23,29.22,21.18,20.08,0.0
2022/09/24,28.52,20.96,18.34,2.49
2022/09/25,29.32,20.73,19.02,1.8
2022/09/26,29.78,21.87,18.48,1.48
2022/09/27,29.54,23.12,20.07,0.23
2022/09/28,30.31,21.37,19.25,0.05
2022/09/29,30.21,21.33,20.95,0.7
2022/09/30,29.33,20.86,21.77,1.2
2022/10/01,29.27,20.79,21.66,1.62
2022/10/02,29.76,20.55,20.2,0.35
2022/10/03,26.94,21.82,12.55,4.15
2022/10/04,28.14,21.26,12.08,23.26
2022/10/05,28.51,22.58,12.41,17.57
