DATE,TMAX,TMIN,SRAD,RAIN
2022/06/01,34.74,24.34,22.27,0.02
2022/06/02,34.55,24.62,22.13,0.07
2022/06/03,35.81,25.33,21.04,2.91
2022/06/04,33.3,25.83,18.8,6.1
2022/06/05,31.98,25.42,11.55,4.97
2022/06/06,34.54,25.01,21.74,0.06
2022/06/07,34.58,24.41,22.34,0.02
2022/06/08,34.87,24.66,20.62,1.3
2022/06/09,35.69,24.47,20.61,1.75
2022/06/10,32.7,23.51,20.66,6.06
2022/06/11,36.51,22.34,21.77,1.83
2022/06/12,36.4,24.99,20.55,0.49
2022/06/13,33.33,25.17,19.42,12.39
2022/06/14,29.62,24.45,19.89,13.2
2022/06/15,29.65,24.3,17.68,7.41
2022/06/16,33.39,24.24,20.0,1.52
2022/06/17,32.02,24.68,18.99,1.19
2022/06/18,35.54,24.04,22.11,0.28
2022/06/19,33.8,24.62,21.23,0.09
2022/06/20,34.9,23.59,19.21,0.22
2022/06/21,34.25,24.25,20.33,1.14
2022/06/22,34.83,23.63,23.07,0.67
2022/06/23,34.24,24.23,16.78,0.48
2022/06/24,36.05,24.26,22.97,0.04
2022/06/25,37.23,23.79,21.44,0.11
2022/06/26,34.01,24.35,20.75,0.7
2022/06/27,35.52,24.2,21.21,0.45
2022/06/28,31.54,24.77,19.41,2.24
2022/06/29,34.29,24.35,22.06,0.24
2022/06/30,33.35,24.87,20.61,1.79
2022/07/01,32.31,24.59,17.76,3.0
2022/07/02,33.76,24.2,23.19,0.81
2022/07/03,33.5,24.51,12.17,0.92
2022/07/04,33.53,24.0,14.84,0.78
2022/07/05,32.18,23.7,13.1,1.07
2022/07/06,33.48,23.87,20.53,1.04
2022/07/07,32.78,23.58,15.68,0.41
2022/07/08,32.94,23.63,17.35,0.54
2022/07/09,34.73,23.98,12.39,0.98
2022/07/10,35.27,23.17,18.57,0.2
2022/07/11,34.94,24.24,20.43,1.43
2022/07/12,34.49,24.78,22.22,0.84
2022/07/13,34.05,23.85,20.47,0.56
2022/07/14,33.87,23.94,18.87,0.71
2022/07/15,34.46,24.16,20.17,11.71
2022/07/16,34.2,24.17,17.24,5.46
2022/07/17,35.19,24.43,23.14,6.21
2022/07/18,31.51,25.47,19.91,2.45
2022/07/19,33.19,24.87,18.95,6.23
2022/07/20,33.1,24.26,20.32,9.27
2022/07/21,33.52,24.3,21.51,5.0
2022/07/22,33.1,23.67,17.9,10.26
2022/07/23,35.56,23.65,22.48,8.08
2022/07/24,31.79,24.71,18.07,4.5
2022/07/25,31.05,23.93,21.64,31.42
2022/07/26,32.4,24.3,21.53,3.21
2022/07/27,32.7,25.45,13.44,12.84
2022/07/28,32.48,24.48,21.09,13.06
2022/07/29,32.12,24.88,18.9,19.68
2022/07/30,29.87,24.51,19.28,22.76
2022/07/31,30.33,24.01,18.67,4.92
2022/08/01,29.33,24.23,16.14,2.0
2022/08/02,29.39,24.15,14.71,7.22
2022/08/03,31.33,23.22,17.32,0.74
2022/08/04,30.83,22.99,17.85,1.64
2022/08/05,31.09,23.08,22.01,0.79
2022/08/06,32.38,22.69,17.55,1.26
2022/08/07,32.41,23.18,18.74,0.42
2022/08/08,33.48,22.8,21.3,0.08
2022/08/09,34.33,22.58,24.87,0.08
2022/08/10,34.93,24.09,20.86,0.04
2022/08/11,34.86,22.52,20.95,0.0
2022/08/12,35.5,22.96,20.81,0.0
2022/08/13,35.45,23.79,23.12,0.01
2022/08/14,34.78,24.86,22.21,0.02
2022/08/15,33.01,25.12,22.93,0.08
2022/08/16,33.31,25.12,20.89,14.18
2022/08/17,34.2,24.67,21.04,3.12
2022/08/18,34.37,24.76,16.89,0.33
2022/08/19,35.38,23.85,22.5,1.47
2022/08/20,34.01,23.99,21.27,2.62
2022/08/21,34.56,23.69,20.38,0.58
2022/08/22,32.23,23.44,13.03,1.06
2022/08/23,30.55,24.12,19.12,0.75
2022/08/24,31.15,23.96,16.52,14.11
2022/08/25,27.63,23.08,17.9,8.96
2022/08/26,33.02,22.16,21.06,2.56
2022/08/27,32.35,23.7,18.71,4.85
2022/08/28,32.35,23.92,19.11,18.36
2022/08/29,30.21,24.37,16.41,10.75
2022/08/30,31.14,23.71,10.54,4.73
2022/08/31,31.97,22.9,21.57,3.49
2022/09/01,32.81,23.51,24.04,1.09
2022/09/02,31.9,24.28,23.33,10.14
2022/09/03,32.45,24.74,19.75,6.97
2022/09/04,32.17,23.75,20.36,6.66
2022/09/05,30.61,23.26,19.15,5.36
2022/09/06,31.23,22.12,20.07,0.33
2022/09/07,31.84,23.08,23.33,0.62
2022/09/08,33.21,22.9,22.52,0.39
2022/09/09,32.81,23.9,22.75,0.23
2022/09/10,34.12,22.99,23.12,0.11
2022/09/11,34.08,22.42,24.13,0.47
2022/09/12,34.24,23.26,23.42,3.76
2022/09/13,34.54,23.82,24.15,0.94
2022/09/14,34.5,23.94,24.19,0.15
2022/09/15,34.52,24.05,22.65,0.26
2022/09/16,33.22,24.08,22.07,4.42
2022/09/17,32.93,23.98,20.19,0.55
2022/09/18,33.99,23.29,23.54,0.01
2022/09/19,36.13,22.32,25.05,0.0
2022/09/20,35.74,22.58,24.83,0.0
2022/09/21,35.98,22.55,23.43,0.0
2022/09/22,35.88,22.87,25.07,0.13
2022/09/23,35.47,24.18,24.93,2.3
2022/09/24,35.32,24.35,19.0,3.36
2022/09/25,36.19,24.13,22.55,3.7
2022/09/26,34.92,24.41,19.95,3.54
2022/09/27,34.01,23.8,21.38,0.82
2022/09/28,34.34,23.5,20.54,0.48
2022/09/29,34.05,23.03,20.46,0.11
2022/09/30,35.24,23.4,16.84,1.3
2022/10/01,35.16,22.91,18.81,0.78
2022/10/02,33.81,24.07,18.71,1.45
2022/10/03,33.58,24.19,13.85,0.54
2022/10/04,33.12,22.99,15.38,0.0
2022/10/05,36.37,21.94,18.19,0.05
2022/10/06,35.76,23.35,18.6,4.61
2022/10/07,32.44,24.2,9.21,22.28
2022/10/08,31.55,24.9,15.92,21.38
2022/10/09,34.31,23.51,19.4,8.89
2022/10/10,32.47,24.23,19.44,7.22
2022/10/11,32.01,24.33,16.05,5.45
2022/10/12,32.46,23.85,20.83,11.8
2022/10/13,29.66,24.1,19.71,19.25
2022/10/14,32.05,23.51,18.34,7.33
2022/10/15,30.69,23.93,14.75,5.12
2022/10/16,30.37,23.57,19.17,5.59
2022/10/17,30.69,23.0,16.21,8.02
2022/10/18,30.68,23.68,17.96,14.43
2022/10/19,28.92,24.03,12.24,24.1
2022/10/20,29.86,23.28,18.6,0.73
2022/10/21,31.17,23.7,15.38,2.4
2022/10/22,29.78,23.65,13.88,4.05
2022/10/23,32.43,23.08,18.28,0.51
2022/10/24,30.88,23.62,17.33,16.42
2022/10/25,30.97,21.84,16.19,1.57
2022/10/26,31.35,21.6,19.42,0.35
2022/10/27,31.07,21.48,11.22,2.2
2022/10/28,28.4,23.62,13.68,2.96
2022/10/29,28.87,23.27,17.6,1.43
2022/10/30,27.02,23.68,11.39,7.46
2022/10/31,28.39,22.76,16.56,19.65
2022/11/01,26.01,23.44,12.28,31.33
2022/11/02,26.56,23.06,9.79,8.85
2022/11/03,27.85,22.7,12.21,5.08
2022/11/04,29.19,22.13,16.54,6.39
2022/11/05,29.82,22.6,21.26,1.19
2022/11/06,29.48,22.48,17.02,2.09
2022/11/07,28.65,22.74,16.41,0.7
2022/11/08,30.02,22.08,20.45,0.78
2022/11/09,26.43,22.87,9.81,22.21
2022/11/10,27.61,22.79,13.43,18.53
2022/11/11,27.66,23.0,9.96,9.02
